"Average Groups Contribution to dissimilarity","Porous Contaminated x Karst-Porous","Porous Contaminated x Mine","Porous Contaminated x Subsurface saline","Porous Contaminated x Porous","Porous Contaminated x Geyser","Karst-Porous x Mine","Karst-Porous x Subsurface saline","Karst-Porous x Porous","Karst-Porous x Geyser","Mine x Subsurface saline","Mine x Porous","Mine x Geyser","Subsurface saline x Porous","Subsurface saline x Geyser","Porous x Geyser"
"Aestuariibacter",8.99748733770222e-07,7.39987048494412e-07,8.00075997261851e-07,7.97933629714972e-07,7.69823340434284e-07,3.17911263368078e-07,3.83725696951729e-07,3.7942564206225e-07,3.58633251397025e-07,1.54011450124675e-07,1.55497586055474e-07,1.51172774616475e-07,2.49072648908346e-07,2.28217262958737e-07,2.31083973363711e-07
"Aestuariivita",3.50778699720424e-06,3.76689055868003e-06,4.67212843328562e-06,8.19976344129254e-06,3.20949627905596e-06,2.11940359175026e-06,5.04581019728971e-06,8.36226741702547e-06,2.06374989796677e-06,5.79073590521659e-06,8.6908972769473e-06,1.06795266638404e-06,8.18149147853545e-06,5.11333355636752e-06,8.33923386131726e-06
"Afipia",0.000443994572040513,0.000395372606642567,0.000394987487514794,0.000335040940471058,0.00032448132998449,0.000269969764322291,0.000391259882202258,0.000347872198948148,0.00038257307236095,0.000350007094145851,0.000284566569259271,0.000319103294769292,0.000295357227124426,0.000297848543211218,0.000218896220879754
"Agarilytica",1.67890465661766e-05,2.72240220834159e-05,2.71655948458938e-05,3.67931005299662e-05,1.7035840155878e-05,2.59479379945363e-05,2.86865568376825e-05,3.47876106801709e-05,5.47901690881219e-06,2.83988871934135e-05,3.94138688823721e-05,2.67646740156326e-05,3.89039248051559e-05,3.04637293556686e-05,3.52610976408205e-05
"Agarivorans",9.59798780946197e-06,1.09141769611972e-05,1.21313483333521e-05,1.99648014197192e-05,9.37181804957697e-06,4.3336674896492e-06,1.11804465534175e-05,2.27510354967861e-05,4.11145217747315e-06,1.3249236254644e-05,2.64829269586483e-05,3.22805829913107e-06,1.73048318121631e-05,1.12748046184914e-05,2.33763896268431e-05
"Aggregatibacter",3.11287751619199e-05,6.80524951286918e-05,2.20960574630003e-05,2.14926181042017e-05,2.39438229391437e-05,7.65047729413844e-05,2.66340042825242e-05,2.50667958561385e-05,2.22024397014759e-05,6.7265708737454e-05,6.96295533804012e-05,8.15314880549e-05,1.30693323275414e-05,1.80051634930801e-05,1.53223227743624e-05
"Agrobacterium",0.0002420042255194,0.000449620818598155,0.00101516254207375,0.000188115382338498,0.000244578200013546,0.000392580731616013,0.000976640088619488,0.000220122192138956,0.000330318072659724,0.00112940049878929,0.00046563369292608,0.000513515963687629,0.000994063125075778,0.0010841388666735,0.00020319577534759
"Agrococcus",0.000108039548588147,0.000161937764427696,6.68203514372548e-05,7.45284340729835e-05,0.000107513016190381,0.000130973976056474,0.000111837797162425,0.000116329118163408,0.000144959795842014,0.000169524926619667,0.000175592533555145,0.00017984051926131,3.51894788592014e-05,7.2401551850451e-05,7.85616674371684e-05
"Agromyces",0.000208230357801094,0.000242867663910291,0.000103520715506392,0.000108039615244504,0.000212241186697818,0.000191956216830529,0.000184031370944374,0.000203810496776495,0.000311567298521416,0.000230469266234478,0.000241994183892327,0.000320290222362042,6.66485183181071e-05,0.000192831604782787,0.000181464424029573
"Ahniella",3.21716031148618e-05,2.58565020614979e-05,5.33632048661164e-05,2.66634079163251e-05,3.49229510465208e-05,2.9985945563618e-05,4.91433644077035e-05,3.10317581149387e-05,3.90133687886334e-05,5.35052517208302e-05,2.11879700760521e-05,3.00265120999349e-05,5.51118559078327e-05,6.11536250322937e-05,3.0531242591202e-05
"Ahrensia",8.24679609772797e-05,4.45229038298465e-05,0.000546156243708183,5.85077681329137e-05,7.26100626167647e-05,7.52658116966067e-05,0.000511409256990815,9.06379071237756e-05,0.000108980381684961,0.000552187991051612,4.79845754486523e-05,6.22263123007597e-05,0.000554542041612086,0.000564359605436263,7.07763126162737e-05
"Akkermansia",4.14053960586568e-05,3.74304784135229e-05,3.94333457186619e-05,3.18359045688807e-05,3.59302612698115e-05,4.3181663355819e-05,3.97550310574163e-05,3.28136074344016e-05,3.5614641373157e-05,4.19751092406554e-05,3.38326734065688e-05,3.6797404862427e-05,2.74436569823413e-05,3.00986176132912e-05,2.11082798997946e-05
"Alcaligenes",5.74814586689173e-05,0.000107345519898545,0.000103763092940373,8.91287395920509e-05,5.67804411476691e-05,0.000105757079952774,0.000101829915440991,8.77477836377958e-05,4.76540152703951e-05,0.000121626525645122,0.000107441145024292,0.00011797250853705,0.000104924590098302,0.000115287546051344,9.93052430611153e-05
"Alcanivorax",0.000314828573904567,0.000339539698276558,0.000941074558118501,0.000258558557041824,0.000296087429668149,0.000348560877869271,0.000914957847809759,0.000309726595797687,0.00037002708586319,0.000894044727204201,0.00033866092559124,0.000390360636770143,0.000945074902255815,0.00103848977499188,0.000268930208586867
"Algibacter",1.61017244307481e-05,1.54985584542463e-05,5.57782563994663e-05,3.26225741021734e-05,1.4327622049963e-05,4.64796810652066e-06,6.16445748389494e-05,3.20157087676371e-05,8.06578024081664e-06,6.15805510767468e-05,3.18989139463414e-05,7.14787502350619e-06,5.98782143934734e-05,5.84271291927735e-05,2.99633359144267e-05
"Algoriphagus",3.93714905289662e-05,4.86826046719025e-05,5.47058982059138e-05,0.000284244339974092,3.98015092425195e-05,2.60624274317088e-05,6.08606487299661e-05,0.000293775802225301,3.60875794828868e-05,7.5136144704384e-05,0.000311221419919999,4.18477449533701e-05,0.000280650352589218,5.54078966322006e-05,0.000287447042391061
"Alicycliphilus",0.00090982719397951,0.00053061542068716,0.000609147774326664,0.000684177768032901,0.000463839379123029,0.00066605200033874,0.000817944628522235,0.000594537621788314,0.000865190118409234,0.000495916163982897,0.000476701102382212,0.000414474063757639,0.000639353739259508,0.000473701432559454,0.000621103260234754
"Alicyclobacillus",0.000274835428599585,0.000266894784871547,0.000270316840401117,0.000268783226045206,0.000278941518420743,3.85780460765551e-05,4.19285634999137e-05,4.09548010329037e-05,5.30475016808442e-05,1.91947350566214e-05,1.49513722537708e-05,2.71725046879475e-05,2.63485797876301e-05,3.86366072006336e-05,2.98225964786586e-05
"Aliivibrio",3.61207736225357e-05,3.85783993207701e-05,3.61915858869964e-05,3.16685130448531e-05,3.37207049134028e-05,1.60086474495694e-05,3.70068475785032e-05,3.00675663339804e-05,1.78955980136988e-05,3.96159809519618e-05,3.05388928861286e-05,9.37245322515988e-06,3.33906494496929e-05,3.54181681125068e-05,2.54693987129005e-05
"Alistipes",0.000141044579144912,9.87558498776943e-05,0.000104141053600619,0.000178600291678768,0.000138200981908911,0.000103251972269561,0.000103222578964544,0.000162048869871937,0.000167934434388633,4.6503353424525e-05,0.000172733218260052,0.000101125572711596,0.000159967919896885,0.000123245521176181,0.000204146261246345
"Alkalilimnicola",4.27964739672731e-05,3.24149274562084e-05,7.98541796798624e-05,2.48635014090778e-05,3.32230094818102e-05,4.87121869054805e-05,7.63583076792652e-05,4.22032971128726e-05,5.2404740235512e-05,8.39953432231458e-05,2.98357249191669e-05,3.39635908064853e-05,8.05111030530456e-05,8.87798155418119e-05,2.93416732495817e-05
"Alkaliphilus",3.65525298746502e-05,6.44673443313281e-05,0.000240389104351416,0.000121777751062959,3.2939651566884e-05,7.11477545856851e-05,0.00025474913303372,0.000123314960991905,1.85360463484114e-05,0.000226895426652381,0.000120940992684247,6.35415670088989e-05,0.00022691494246652,0.000248319277469773,0.000121559870539409
"Alkalitalea",2.33254085165759e-05,8.40883512686768e-05,5.80726339205817e-05,0.000398048356842586,2.18271981503034e-05,7.90568803688473e-05,6.20953262328797e-05,0.000401419873719577,1.05526159309674e-05,0.000100266165109784,0.000401747567027511,7.91503476174827e-05,0.000397510650539331,6.01985906335682e-05,0.000399041425281561
"Alloactinosynnema",7.10041949567659e-05,0.000121517034428971,2.64346337463789e-05,3.44593955583798e-05,5.45193980139109e-05,0.000113616158960348,7.14908959087909e-05,6.54007355559177e-05,9.89064470055318e-05,0.000121236626892463,0.000118781371274632,0.000133120739611356,3.21338765764069e-05,5.16724710987391e-05,6.02610223047542e-05
