"","average","sd","ratio","ava","avb","cumsum","p"
"Unclassified.genus.in.Candidatus.Margulisbacteria",0.00443478611406148,0.0207074615003281,0.214163677860331,0.00887642830297952,1.05334031201125e-05,0.626143491156911,0.137862137862138
"Methanoregula",0.00443269557615397,0.0196189553258035,0.225939429625183,0.00888301310784012,9.39525397414913e-05,0.631592533008651,0.290709290709291
"Unclassified.genus.in.Candidatus.Yanofskybacteria",0.00430505959282008,0.0107389985524421,0.400880917508,0.00872081562329689,0.000147401024980192,0.636884673985286,0.172827172827173
"Streptomyces",0.00378992025531118,0.00654333012771083,0.579203583090049,0.0081318439835062,0.0047027116566011,0.641543562404569,0.923076923076923
"Flavobacterium",0.00362713861105806,0.00301481269021643,1.2031057925518,0.00275657281835775,0.00890901309767609,0.646002345949291,0.004995004995005
"Unclassified.genus.in.Candidatus.Levybacteria",0.00362599915726825,0.00468275913288152,0.774329632247601,0.0073935602311205,0.000186041027662613,0.650459728781674,0.381618381618382
"Rhodanobacter",0.00346911838406839,0.0239273076515928,0.144985739080321,0.00695735964876536,0.000131042695723583,0.654724260586006,0.288711288711289
"Aeromonas",0.00344229019648695,0.0228221453743118,0.15083113966847,0.00719248342736571,0.000655375372310861,0.658955812927971,0.277722277722278
"Unclassified.genus.in.Candidatus.Magasanikbacteria",0.0033415994143203,0.004214758450608,0.792832959107836,0.00684661236466791,0.000214710409311277,0.663063587700129,0.280719280719281
"Unclassified.genus.in.Ignavibacteria",0.00332984446348074,0.00787495813485771,0.422839640091739,0.00679476808242104,0.000227605972347853,0.667156912299026,0.281718281718282
"Sphingobium",0.0032020368653254,0.00556728306927977,0.575152516133806,0.00507981664451763,0.003011293640241,0.671093125059459,0.171828171828172
"Unclassified.genus.in.Betaproteobacteria",0.00320199368786908,0.00625348113156234,0.512033796937213,0.0068739092701046,0.00322177756326998,0.675029284742535,0.435564435564436
"Unclassified.genus.in.Candidatus.Staskawiczbacteria",0.00305377339167494,0.00602134354752565,0.507158139636432,0.0061374455124542,3.92501318851929e-05,0.678783239583577,0.23976023976024
"Bacteroides",0.00298884826800354,0.00286383749421668,1.04365149001622,0.000897187740782005,0.00626017674684935,0.682457383007381,0.001998001998002
"Gallionella",0.00294809122582922,0.00954177141067753,0.308966867779941,0.00601711958920549,0.000225264166151797,0.686081424450405,0.191808191808192
"Unclassified.genus.in.Candidatus.Rokubacteria",0.00285300126106779,0.00455899522408795,0.625796062692422,0.00583953508040427,0.000817518641284311,0.689588573318975,0.322677322677323
