"","average","sd","ratio","ava","avb","cumsum","p"
"Xanthomonas",0.00723897369163437,0.015463964804401,0.468118867521877,0.00170718359795346,0.0150291340297457,0.616275223650171,0.535464535464535
"Acinetobacter",0.00667342067417856,0.00457690268017056,1.45806479632857,0.0137206302979267,0.000410108070196378,0.623864972191896,0.0809190809190809
"Thermincola",0.00641570254845642,0.0091319743410787,0.702553720458503,0.0128291244810553,6.84184757273721e-06,0.63116161531372,0.032967032967033
"Pseudomonas",0.0063155100728851,0.00394949717577698,1.59906686644045,0.0146510870666821,0.00625351110906425,0.638344308524024,0.909090909090909
"Unclassified.genus.in.Candidatus.Moranbacteria",0.00607042377365087,0.00527938562109095,1.1498352667022,5.02258770655539e-05,0.0121910734243673,0.64524826261791,0.848151848151848
"Enhydrobacter",0.00528253317545623,0.00378469372209013,1.39576239541489,0.0105783831810987,1.91334922861768e-05,0.651256140799509,0.000999000999000999
"Unclassified.genus.in.Candidatus.Berkelbacteria",0.00515958612886401,0.00696868932518547,0.740395487314495,2.19177166451565e-06,0.0103213640293925,0.657124190066801,0.0649350649350649
"Unclassified.genus.in.Nitrosomonadales",0.00482148956884212,0.00723500550903299,0.666411319635132,5.35085175768133e-05,0.00969406794394975,0.662607718711362,0.0889110889110889
"Moraxella",0.0043054382214097,0.00311357567496575,1.38279543228287,0.00864696194770847,3.81259193767712e-05,0.66750433696126,0.000999000999000999
"Streptococcus",0.00429199436757634,0.0037615831636234,1.14100743779436,0.00887576376059986,0.000375423456133559,0.672385665380798,0.032967032967033
"Mycobacterium",0.00424031682717742,0.00281123212598197,1.50834816804616,0.00900555351057309,0.00110596691841184,0.677208220413189,0.000999000999000999
"Mycolicibacterium",0.00421369532996962,0.00299293309524932,1.40788156496315,0.00883341375790522,0.000908953012396382,0.682000498548696,0.000999000999000999
"Burkholderia",0.00413136840536871,0.00268844580554336,1.53671254851043,0.0077488826698841,0.00438478031812503,0.686699145443729,0.519480519480519
"Corynebacterium",0.00412640988146109,0.00356420342795713,1.15773691509696,0.00872002431972855,0.000895068126535505,0.691392152959583,0.000999000999000999
"Enterobacter",0.00406333168951752,0.00315198124639329,1.28913574411874,0.00828301698875778,0.000250100452410687,0.69601342101247,0.000999000999000999
"Bacillus",0.00401005912956684,0.00257203752912905,1.55909821849479,0.00887642540679017,0.000896843127892019,0.70057410164641,0.127872127872128
"Aquabacterium",0.00391494482000545,0.00469571775457676,0.833726604668623,0.00791778106637053,0.000173279146692363,0.705026607818175,0.004995004995005
"Unclassified.genus.in.Chloroflexi",0.00386157855422099,0.00470916135169471,0.820014067437146,0.000275905964677468,0.00797948915119401,0.709418419998405,0.0789210789210789
"Rhizobium",0.00371179289937066,0.00395082606842115,0.939497926532106,0.00768137060722334,0.00122635524803343,0.713639879444861,0.037962037962038
"Chryseobacterium",0.00357452438298514,0.00286319090084881,1.2484408154292,0.00745534129885955,0.000463541657899743,0.71770522202518,0.000999000999000999
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00343669299216831,0.00401030964959174,0.856964497122604,0.000121191165579024,0.006983580243073,0.721613807576603,0.824175824175824
"Cloacibacterium",0.00334601820856209,0.00238061827244973,1.4055248786774,0.00670336782983642,1.84847735988865e-05,0.725419267783432,0.021978021978022
"Unclassified.genus.in.Actinobacteria.1",0.00320510533551252,0.00252371415244564,1.2699953885057,0.00645406677907935,0.00247310025782561,0.729064466360588,0.020979020979021
"Methylobacterium",0.00276227473151745,0.00315669222942586,0.875053546800747,0.00454048176272251,0.0052809856568008,0.73220602923201,0.733266733266733
"Sphingomonas",0.00273328534342431,0.00193209853373693,1.41467181704122,0.00630203881401101,0.00171547713460946,0.735314622180397,0.634365634365634
"Unclassified.genus.in.Candidatus.Shapirobacteria",0.0027284440436584,0.00384686531992013,0.709264249395415,3.79144326101297e-05,0.00548952238448756,0.738417709069803,0.301698301698302
"Unclassified.genus.in.Candidatus.Pacebacteria",0.00254150874821408,0.0032756404200916,0.77588148339646,2.38856411170453e-05,0.00510632095198384,0.741308192565048,0.115884115884116
